date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:02:19	149685/149685	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:21%20GMT	https://ultimatrades.com/	C:/My%20Web%20Sites/copytd/ultimatrades.com/index.html	(from )
16:02:19	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2001%20Dec%202020%2015:21:29%20GMT	https://ultimatrades.com/robots.txt		(from )
16:02:21	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:23%20GMT	https://ultimatrades.com/img/favicons/apple-touch-icon.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/apple-touch-icon.png	(from https://ultimatrades.com/)
16:02:22	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:24%20GMT	https://ultimatrades.com/img/favicons/favicon-32x32.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/favicon-32x32.png	(from https://ultimatrades.com/)
16:02:23	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:25%20GMT	https://ultimatrades.com/img/favicons/favicon-16x16.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/favicon-16x16.png	(from https://ultimatrades.com/)
16:02:24	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:26%20GMT	https://ultimatrades.com/img/favicons/favicon.ico	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/favicon.ico	(from https://ultimatrades.com/)
16:02:24	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:27%20GMT	https://ultimatrades.com/img/favicons/safari-pinned-tab.svg	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/safari-pinned-tab.svg	(from https://ultimatrades.com/)
16:02:25	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:28%20GMT	https://ultimatrades.com/img/favicons/site.webmanifest	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/site.webmanifest	(from https://ultimatrades.com/)
16:02:26	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:29%20GMT	https://ultimatrades.com/img/favicons/browserconfig.xml	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicons/browserconfig.xml	(from https://ultimatrades.com/)
16:02:27	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:29%20GMT	https://ultimatrades.com/img/favicon.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/favicon.png	(from https://ultimatrades.com/)
16:02:28	23118/23118	---MCZ	200	added ('OK')	text/css	date:Tue,%2025%20Jul%202023%2001:25:14%20GMT	https://ultimatrades.com/auth/blank.min.css	C:/My%20Web%20Sites/copytd/ultimatrades.com/auth/blank.min.css	(from https://ultimatrades.com/)
16:02:29	226173/226173	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202023%2000:15:33%20GMT	https://ultimatrades.com/css/main.min.css?6	C:/My%20Web%20Sites/copytd/ultimatrades.com/css/main.min1679.css	(from https://ultimatrades.com/)
16:02:30	150/150	---MCZ	200	added ('OK')	text/css	date:Mon,%2017%20Jul%202023%2017:53:12%20GMT	https://ultimatrades.com/css/custom.css	C:/My%20Web%20Sites/copytd/ultimatrades.com/css/custom.css	(from https://ultimatrades.com/)
16:02:31	105461/105461	---MCZ	200	added ('OK')	text/css	date:Fri,%2021%20Jul%202023%2020:09:00%20GMT	https://ultimatrades.com/css/all.min.css	C:/My%20Web%20Sites/copytd/ultimatrades.com/css/all.min.css	(from https://ultimatrades.com/)
16:02:32	17535/17535	---MCZ	200	added ('OK')	application/javascript	etag:W/%2265f29c02-447f%22	https://www.smartsuppchat.com/loader.js?	C:/My%20Web%20Sites/copytd/www.smartsuppchat.com/loaderd41d.js	(from https://ultimatrades.com/)
16:02:33	2132/2132	---MCZ	-1	error ('Error%20when%20decompressing')	text/html	date:Thu,%2014%20Mar%202024%2015:02:35%20GMT	https://ultimatrades.com/%e2%80%9chttps://www.smartsupp.com%e2%80%9d	C:/My%20Web%20Sites/copytd/ultimatrades.com/%e2%80%9chttps_/www.smartsupp.com%e2%80%9d	(from https://ultimatrades.com/)
16:02:34	96119/96119	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202023%2000:15:32%20GMT	https://ultimatrades.com/img/logo.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/logo.png	(from https://ultimatrades.com/)
16:02:35	45632/45632	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:38%20GMT	https://ultimatrades.com/about	C:/My%20Web%20Sites/copytd/ultimatrades.com/about.html	(from https://ultimatrades.com/)
16:02:36	44541/44541	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:38%20GMT	https://ultimatrades.com/option-copy-trading	C:/My%20Web%20Sites/copytd/ultimatrades.com/option-copy-trading.html	(from https://ultimatrades.com/)
16:02:36	42299/42299	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:39%20GMT	https://ultimatrades.com/advance-trading	C:/My%20Web%20Sites/copytd/ultimatrades.com/advance-trading.html	(from https://ultimatrades.com/)
16:02:37	44307/44307	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:40%20GMT	https://ultimatrades.com/live-trading	C:/My%20Web%20Sites/copytd/ultimatrades.com/live-trading.html	(from https://ultimatrades.com/)
16:02:38	42344/42344	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:40%20GMT	https://ultimatrades.com/futures	C:/My%20Web%20Sites/copytd/ultimatrades.com/futures.html	(from https://ultimatrades.com/)
16:02:38	42293/42293	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:41%20GMT	https://ultimatrades.com/stock-trading	C:/My%20Web%20Sites/copytd/ultimatrades.com/stock-trading.html	(from https://ultimatrades.com/)
16:02:39	42290/42290	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:41%20GMT	https://ultimatrades.com/forex	C:/My%20Web%20Sites/copytd/ultimatrades.com/forex.html	(from https://ultimatrades.com/)
16:02:40	42402/42402	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:42%20GMT	https://ultimatrades.com/oil-and-gas	C:/My%20Web%20Sites/copytd/ultimatrades.com/oil-and-gas.html	(from https://ultimatrades.com/)
16:02:41	40096/40096	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:43%20GMT	https://ultimatrades.com/insight	C:/My%20Web%20Sites/copytd/ultimatrades.com/insight.html	(from https://ultimatrades.com/)
16:02:42	910/910	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	https://www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png	C:/My%20Web%20Sites/copytd/www.gstatic.com/images/branding/googlelogo/1x/googlelogo_color_42x16dp.png	(from https://ultimatrades.com/)
16:02:44	90013/90013	---MC-	200	added ('OK')	text/javascript	date:Thu,%2014%20Mar%202024%2015:02:45%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit2	C:/My%20Web%20Sites/copytd/translate.google.com/translate_a/element7876.js	(from https://ultimatrades.com/)
16:02:44	31034/31034	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:46%20GMT	https://ultimatrades.com/login	C:/My%20Web%20Sites/copytd/ultimatrades.com/login.html	(from https://ultimatrades.com/)
16:02:44	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Mar%202024%2015:02:47%20GMT	https://ultimatrades.com/en/faq/	C:/My%20Web%20Sites/copytd/ultimatrades.com/en/faq/index.html	(from https://ultimatrades.com/)
16:02:45	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:47%20GMT	https://ultimatrades.com/img/platform.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/platform.png	(from https://ultimatrades.com/)
16:02:45	6609/6609	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2015:02:48%20GMT	https://ultimatrades.com/img/platform-mobile.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/platform-mobile.png	(from https://ultimatrades.com/)
16:02:46	707/707	---MC-	301	error ('Moved%20Permanently')	text/html	date:Thu,%2014%20Mar%202024%2015:02:48%20GMT	https://ultimatrades.com/en/about-us/	C:/My%20Web%20Sites/copytd/ultimatrades.com/en/about-us/index.html	(from https://ultimatrades.com/)
16:02:46	45522/45522	---MCZ	200	added ('OK')	text/html	date:Thu,%2014%20Mar%202024%2015:02:49%20GMT	https://ultimatrades.com/register	C:/My%20Web%20Sites/copytd/ultimatrades.com/register.html	(from https://ultimatrades.com/)
16:02:48	3000/3000	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202023%2000:15:32%20GMT	https://ultimatrades.com/img/dignity-1.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/dignity-1.png	(from https://ultimatrades.com/)
16:02:49	2614/2614	---M--	200	added ('OK')	image/png	date:Mon,%2017%20Jul%202023%2000:15:32%20GMT	https://ultimatrades.com/img/dignity-2.png	C:/My%20Web%20Sites/copytd/ultimatrades.com/img/dignity-2.png	(from https://ultimatrades.com/)
